,ARREST_PRECINCT,OFNS_DESC,Crime Count Historic Avg,Crime Count,Increase in Crime
106,108,FRAUDS,9.0,25.0,True
107,108,OFFENSES INVOLVING FRAUD,9.0,32.0,True
108,108,BURGLAR'S TOOLS,7.0,5.0,False
109,108,THEFT-FRAUD,2.0,1.0,False
110,109,PETIT LARCENY,727.0,251.0,False
111,109,ASSAULT 3 & RELATED OFFENSES,537.0,364.0,False
112,109,ROBBERY,224.0,137.0,False
113,109,FELONY ASSAULT,205.0,154.0,False
114,109,GRAND LARCENY,179.0,113.0,False
115,109,BURGLARY,88.0,73.0,False
116,109,SEX CRIMES,54.0,41.0,False
117,109,BURGLAR'S TOOLS,25.0,28.0,True
118,109,GRAND LARCENY OF MOTOR VEHICLE,13.0,20.0,True
119,109,OFFENSES INVOLVING FRAUD,11.0,2.0,False
120,109,THEFT-FRAUD,11.0,15.0,True
121,109,FRAUDS,10.0,7.0,False
122,109,RAPE,9.0,4.0,False
123,110,PETIT LARCENY,748.0,234.0,False
124,110,ASSAULT 3 & RELATED OFFENSES,535.0,437.0,False
125,110,FELONY ASSAULT,244.0,298.0,True
126,110,ROBBERY,163.0,115.0,False
127,110,GRAND LARCENY,152.0,84.0,False
128,110,BURGLARY,54.0,46.0,False
129,110,SEX CRIMES,51.0,75.0,True
130,110,BURGLAR'S TOOLS,24.0,15.0,False
131,110,OFFENSES INVOLVING FRAUD,19.0,11.0,False
132,110,GRAND LARCENY OF MOTOR VEHICLE,16.0,23.0,True
133,110,FRAUDS,11.0,8.0,False
134,110,RAPE,10.0,5.0,False
135,110,THEFT-FRAUD,6.0,51.0,True
136,111,ASSAULT 3 & RELATED OFFENSES,141.0,83.0,False
137,111,PETIT LARCENY,71.0,25.0,False
138,111,GRAND LARCENY,58.0,13.0,False
139,111,FELONY ASSAULT,56.0,43.0,False
140,111,BURGLARY,37.0,19.0,False
141,111,ROBBERY,29.0,8.0,False
142,111,SEX CRIMES,13.0,17.0,True
143,111,GRAND LARCENY OF MOTOR VEHICLE,7.0,4.0,False
144,111,BURGLAR'S TOOLS,5.0,6.0,True
145,112,PETIT LARCENY,324.0,66.0,False
146,112,SEX CRIMES,174.0,68.0,False
147,112,ASSAULT 3 & RELATED OFFENSES,150.0,137.0,False
148,112,RAPE,98.0,101.0,True
149,112,FELONY ASSAULT,88.0,85.0,False
150,112,GRAND LARCENY,82.0,56.0,False
151,112,ROBBERY,24.0,50.0,True
152,112,BURGLARY,18.0,37.0,True
153,112,BURGLAR'S TOOLS,13.0,16.0,True
154,112,GRAND LARCENY OF MOTOR VEHICLE,7.0,28.0,True
155,112,FRAUDS,4.0,8.0,True
156,112,OFFENSES INVOLVING FRAUD,4.0,4.0,False
157,113,ASSAULT 3 & RELATED OFFENSES,744.0,225.0,False
158,113,FELONY ASSAULT,301.0,128.0,False
159,113,PETIT LARCENY,222.0,77.0,False
160,113,GRAND LARCENY,155.0,292.0,True
161,113,ROBBERY,110.0,166.0,True
162,113,FRAUDS,59.0,28.0,False
163,113,BURGLARY,57.0,62.0,True
164,113,SEX CRIMES,57.0,59.0,True
165,113,GRAND LARCENY OF MOTOR VEHICLE,42.0,74.0,True
166,113,OFFENSES INVOLVING FRAUD,27.0,30.0,True
167,113,RAPE,10.0,21.0,True
168,113,BURGLAR'S TOOLS,7.0,10.0,True
169,113,THEFT-FRAUD,7.0,37.0,True
170,113,FRAUDULENT ACCOSTING,1.0,6.0,True
171,114,ASSAULT 3 & RELATED OFFENSES,650.0,229.0,False
172,114,PETIT LARCENY,295.0,120.0,False
173,114,FELONY ASSAULT,257.0,396.0,True
174,114,ROBBERY,144.0,189.0,True
175,114,GRAND LARCENY,132.0,181.0,True
176,114,BURGLARY,55.0,116.0,True
177,114,SEX CRIMES,46.0,75.0,True
178,114,FRAUDS,23.0,32.0,True
179,114,GRAND LARCENY OF MOTOR VEHICLE,15.0,57.0,True
180,114,BURGLAR'S TOOLS,11.0,8.0,False
181,114,OFFENSES INVOLVING FRAUD,11.0,55.0,True
182,114,RAPE,7.0,8.0,True
183,114,THEFT-FRAUD,3.0,4.0,True
184,115,ASSAULT 3 & RELATED OFFENSES,750.0,217.0,False
185,115,FELONY ASSAULT,282.0,110.0,False
186,115,PETIT LARCENY,219.0,332.0,True
187,115,ROBBERY,164.0,107.0,False
188,115,GRAND LARCENY,137.0,116.0,False
189,115,SEX CRIMES,88.0,177.0,True
190,115,BURGLARY,61.0,86.0,True
191,115,GRAND LARCENY OF MOTOR VEHICLE,27.0,59.0,True
192,115,FRAUDS,19.0,16.0,False
193,115,OFFENSES INVOLVING FRAUD,16.0,23.0,True
194,115,BURGLAR'S TOOLS,15.0,19.0,True
195,115,RAPE,12.0,4.0,False
196,115,THEFT OF SERVICES,8.0,11.0,True
